label,text
spam,"FREE entry to win a Tablet! Text WIN to 09058094594 now, ref 5032. Limited time offer!"
ham,"Thanks for Cash dinner last night, the food was amazing, see you at 6 PM."
spam,Last chance! Your subscription 6128 expires today. Renew now at http://win-now.biz to avoid 5% penalty.
spam,"Dear customer, your design delivery #9416 is on hold. Pay $5 customs fee at http://win-now.biz to release it."
ham,"Great job on the Tablet presentation today at 4:45 PM, the client was really impressed."
ham,"Sure, I'll see you at the finance gym at 9 AM for our usual session."
ham,"Sure, I'll see you at the school gym at 2 PM for our usual session."
ham,Reminder: Your appointment with the client doctor is scheduled for 6 PM tomorrow.
spam,FINAL NOTICE 1196: Outstanding payment of $1196 detected. Settle immediately via http://win-now.biz to avoid legal action.
ham,"Thanks for homework dinner last night, the food was amazing, see you at 6 PM."
ham,"I updated the groceries spreadsheet with the latest numbers, please check before 5:30 PM."
ham,Could you forward the Gift Card invoice from next week? I need it for accounting.
ham,Quick question about the Laptop assignment - is it due 2 PM or Friday?
ham,Can we catch up this weekend at 2 PM? It's been a while since we hung out near design.
ham,"The weather looks great for the weekend, want to go downtown hiking at 9 AM?"
spam,FINAL NOTICE 7635: Outstanding payment of $7635 detected. Settle immediately via http://win-now.biz to avoid legal action.
ham,Could you forward the finance invoice from tonight? I need it for accounting.
spam,"Claim your FREE Cash now, code 47! Text CLAIM to 08712401890. Offer expires today!"
spam,"Special promo just for you, voucher 8320! Get 89% off all products. Use code SAVE8320 at http://claim-prize.com"
spam,You've earned 5 reward points worth $4758! Redeem now at http://claim-prize.com before they expire.
ham,"Mom called, she wants us to visit this Sunday at 11 AM for engineering lunch."
spam,"Your loan of $785 has been approved! No credit check required. Call 09064011000 today, ref 12!"
ham,The meeting has been rescheduled to 10 AM in the weekend conference room.
ham,Could you forward the sales invoice from tonight? I need it for accounting.
ham,Could you forward the kitchen invoice from Friday? I need it for accounting.
spam,CONGRATULATIONS! You've been chosen for a FREE design voucher worth $1881. Claim at http://secure-update.info
spam,"Hot singles in your area are waiting to chat with you, ID 6950! Click http://claim-prize.com now!!!"
spam,Congratulations! You've won $2840 in our weekly draw #26. Send your bank details to claim.
ham,"Just checking in, how are you feeling after the kitchen? Call me at 3 PM."
spam,URGENT! Your account 2429 has been suspended. Click here to verify: http://verify-account.net
ham,Please review the attached office document and let me know your thoughts by 7 PM.
spam,"Special promo just for you, voucher 9964! Get 33% off all products. Use code SAVE9964 at http://secure-update.info"
ham,"I left my engineering charger at the office, can you bring it tomorrow morning?"
ham,Quick question about the Gift Card assignment - is it due 2 PM or Monday?
ham,The meeting has been rescheduled to 4:45 PM in the team conference room.
ham,Can you pick me up from the sales station at 9 AM? My train arrives then.
spam,Your prize of school (ref 8594) is waiting! Reply CLAIM with your address to receive it within 24hrs.
spam,"Hot singles in your area are waiting to chat with you, ID 7635! Click http://reward-center.xyz now!!!"
ham,"Sure, I'll see you at the Car gym at 11 AM for our usual session."
ham,"The weather looks great for the weekend, want to go design hiking at 6 PM?"
ham,"I just finished the sales assignment, do you want to go over it together at 6 PM?"
spam,Last chance! Your subscription 4210 expires today. Renew now at http://freegift.co to avoid 61% penalty.
ham,"I just finished the client assignment, do you want to go over it together at 8:15 AM?"
spam,"Dear customer, your project delivery #2703 is on hold. Pay $82 customs fee at http://win-now.biz to release it."
spam,"Dear customer, your sales delivery #3799 is on hold. Pay $47 customs fee at http://secure-update.info to release it."
ham,"Sure, I'll see you at the marketing gym at noon for our usual session."
spam,"Dear customer, your Car delivery #8457 is on hold. Pay $75 customs fee at http://secure-update.info to release it."
ham,"Great job on the weekend presentation today at 4:45 PM, the client was really impressed."
spam,"Special promo just for you, voucher 1470! Get 33% off all products. Use code SAVE1470 at http://secure-update.info"
ham,"Mom called, she wants us to visit this Sunday at 3 PM for design lunch."
ham,Quick question about the design assignment - is it due 3 PM or Monday?
ham,"Thanks for the help with the sales project yesterday, really appreciated it."
ham,Please review the attached team document and let me know your thoughts by 7 PM.
spam,"Dear customer, your weekend delivery #2703 is on hold. Pay $40 customs fee at http://verify-account.net to release it."
spam,URGENT: Your bank account 4073 needs verification. Click http://reward-center.xyz immediately to avoid suspension.
spam,"Limited offer! Buy now and get 33% discount on Tablet, code 3936. Click http://win-now.biz to order!"
spam,FREE RINGTONES! Text TONE6539 to 07090210034 to download the latest hits for free!
ham,"Sure, I'll see you at the marketing gym at 8:15 AM for our usual session."
ham,Can we catch up this weekend at 11 AM? It's been a while since we hung out near iPhone.
ham,"The weather looks great for the weekend, want to go iPhone hiking at 2 PM?"
spam,You've earned 33 reward points worth $8594! Redeem now at http://reward-center.xyz before they expire.
ham,"I updated the Car spreadsheet with the latest numbers, please check before 3 PM."
ham,"Hey, are we still meeting for lunch tomorrow at 8:15 AM? Let me know by tonight."
ham,"Sure, I'll see you at the Laptop gym at 11 AM for our usual session."
ham,Reminder: Your appointment with the engineering doctor is scheduled for 2 PM tomorrow.
spam,"Dear customer, your design delivery #8731 is on hold. Pay $5 customs fee at http://reward-center.xyz to release it."
ham,Let's plan the Vacation trip for next month. I'll book the tickets this weekend.
ham,Could you forward the kitchen invoice from this evening? I need it for accounting.
spam,ALERT 7498: Unusual activity detected on your account. Verify now at http://win-now.biz or account will be locked.
ham,"Let's finalize the Gift Card schedule for next week, are you free 9 AM?"
spam,"Congratulations! You've WON a homework prize. Call 08712401890 now to claim your reward, offer code 6128!"
spam,Make money fast! Investment opportunity #5717 guarantees 26% returns. Reply for details.
ham,"I left my homework charger at the office, can you bring it tomorrow morning?"
spam,"Special promo just for you, voucher 2977! Get 33% off all products. Use code SAVE2977 at http://bonus-cash.online"
ham,"I updated the Smart TV spreadsheet with the latest numbers, please check before 6 PM."
ham,Reminder: Your appointment with the Vacation doctor is scheduled for 6 PM tomorrow.
spam,"Limited offer! Buy now and get 26% discount on Car, code 8457. Click http://freegift.co to order!"
ham,"Let's finalize the groceries schedule for next week, are you free 8:15 AM?"
ham,Please review the attached Car document and let me know your thoughts by 1 PM.
ham,Quick question about the Laptop assignment - is it due 6 PM or end of day?
spam,Your prize of client (ref 4621) is waiting! Reply CLAIM with your address to receive it within 24hrs.
ham,"I will be home late today, around 11 AM. Please start dinner without me, love you."
spam,"FREE entry to win a Laptop! Text WIN to 09064011000 now, ref 6128. Limited time offer!"
ham,"I updated the weekend spreadsheet with the latest numbers, please check before 11 AM."
spam,Last chance! Your subscription 2018 expires today. Renew now at http://reward-center.xyz to avoid 5% penalty.
spam,Last chance! Your subscription 511 expires today. Renew now at http://win-now.biz to avoid 54% penalty.
ham,Quick question about the marketing assignment - is it due 2 PM or Monday?
ham,"Let's finalize the weekend schedule for next week, are you free 1 PM?"
spam,"Hot singles in your area are waiting to chat with you, ID 7909! Click http://win-now.biz now!!!"
spam,"Special promo just for you, voucher 6950! Get 33% off all products. Use code SAVE6950 at http://verify-account.net"
spam,"WIN a brand new groceries this week, entry 3662! Enter now at http://verify-account.net. T&Cs apply."
spam,"Get rich quick! Earn $3114 per day working from home. Visit http://secure-update.info now, slot 61!"
ham,"Sure, I'll see you at the Car gym at 8:15 AM for our usual session."
ham,"Mom called, she wants us to visit this Sunday at 10 AM for engineering lunch."
ham,"Let's finalize the marketing schedule for next week, are you free 2 PM?"
spam,Make money fast! Investment opportunity #374 guarantees 89% returns. Reply for details.
spam,"You have a missed call from 09058094594, case 8046. To know who called, dial back now for $1.50/min."
ham,Reminder: Your appointment with the Tablet doctor is scheduled for 6 PM tomorrow.
ham,"I just finished the kitchen assignment, do you want to go over it together at 9 AM?"
ham,"Just checking in, how are you feeling after the Tablet? Call me at 5:30 PM."
ham,"I updated the sales spreadsheet with the latest numbers, please check before 10 AM."
spam,ALERT 6950: Unusual activity detected on your account. Verify now at http://win-now.biz or account will be locked.
spam,URGENT! Your account 7087 has been suspended. Click here to verify: http://freegift.co
ham,Let's plan the office trip for next month. I'll book the tickets this weekend.
ham,"Let's grab sales coffee before the meeting at 3 PM, I have something to discuss."
ham,"The weather looks great for the weekend, want to go office hiking at 2 PM?"
ham,"I'm running about 10 minutes late for the 1 PM meeting, traffic near Laptop is bad."
ham,"I updated the project spreadsheet with the latest numbers, please check before 11 AM."
ham,The meeting has been rescheduled to 11 AM in the design conference room.
ham,The meeting has been rescheduled to noon in the Car conference room.
ham,Please review the attached Car document and let me know your thoughts by 11 AM.
spam,"Get rich quick! Earn $8731 per day working from home. Visit http://secure-update.info now, slot 33!"
spam,WINNER!! As a valued customer you have been selected to receive a Gift Card cash reward of $2703. Call 09058094594
spam,Make money fast! Investment opportunity #5580 guarantees 75% returns. Reply for details.
spam,URGENT: Your bank account 9005 needs verification. Click http://freegift.co immediately to avoid suspension.
spam,"You have a missed call from 08712300220, case 8868. To know who called, dial back now for $1.50/min."
ham,"Hope your marketing interview at 5:30 PM went well, let me know how it went!"
spam,CONGRATULATIONS! You've been chosen for a FREE engineering voucher worth $8457. Claim at http://win-now.biz
ham,"I left my finance charger at the office, can you bring it tomorrow morning?"
spam,URGENT! Your account 4347 has been suspended. Click here to verify: http://claim-prize.com
spam,"Limited offer! Buy now and get 26% discount on garden, code 7909. Click http://win-now.biz to order!"
spam,URGENT! Your account 9416 has been suspended. Click here to verify: http://reward-center.xyz
ham,Please review the attached kitchen document and let me know your thoughts by 9 AM.
ham,"Thanks for project dinner last night, the food was amazing, see you at 11 AM."
ham,"Happy birthday! Hope you have a wonderful day, see you at 5:30 PM for the party."
ham,The meeting has been rescheduled to 3 PM in the Tablet conference room.
spam,"Your loan of $3114 has been approved! No credit check required. Call 09061701461 today, ref 54!"
spam,ALERT 8868: Unusual activity detected on your account. Verify now at http://freegift.co or account will be locked.
spam,Make money fast! Investment opportunity #7361 guarantees 40% returns. Reply for details.
ham,"Happy birthday! Hope you have a wonderful day, see you at 7 PM for the party."
spam,FREE RINGTONES! Text TONE7224 to 08712401890 to download the latest hits for free!
ham,"I left my school charger at the office, can you bring it tomorrow morning?"
ham,"Hey, are we still meeting for lunch tomorrow at 5:30 PM? Let me know by next week."
spam,"Dear customer, your office delivery #100 is on hold. Pay $40 customs fee at http://claim-prize.com to release it."
spam,"Exclusive deal #237: Get a kitchen for just $68. Limited stock, order at http://bonus-cash.online now!"
ham,"Don't forget to pick up milk, bread and school on your way home around 5:30 PM."
spam,"Claim your FREE project now, code 68! Text CLAIM to 09058094594. Offer expires today!"
spam,Make money fast! Investment opportunity #5169 guarantees 61% returns. Reply for details.
spam,"Special promo just for you, voucher 1196! Get 75% off all products. Use code SAVE1196 at http://claim-prize.com"
ham,"The Holiday package was delivered today around 6 PM, thanks for ordering it for me."
ham,Please review the attached team document and let me know your thoughts by noon.
spam,"Claim your FREE garden now, code 61! Text CLAIM to 08712300220. Offer expires today!"
spam,"Special promo just for you, voucher 3525! Get 75% off all products. Use code SAVE3525 at http://win-now.biz"
spam,"Your loan of $100 has been approved! No credit check required. Call 07090210034 today, ref 54!"
spam,"You have a missed call from 08001234567, case 648. To know who called, dial back now for $1.50/min."
ham,"Mom called, she wants us to visit this Sunday at 9 AM for Cash lunch."
spam,You've earned 61 reward points worth $1470! Redeem now at http://secure-update.info before they expire.
ham,"I'm running about 10 minutes late for the noon meeting, traffic near finance is bad."
spam,"Exclusive deal #3662: Get a marketing for just $89. Limited stock, order at http://secure-update.info now!"
ham,Can we catch up this weekend at 10 AM? It's been a while since we hung out near homework.
spam,"WIN a brand new sales this week, entry 9553! Enter now at http://freegift.co. T&Cs apply."
ham,"Just checking in, how are you feeling after the sales? Call me at 8:15 AM."
spam,Congratulations! You've won $9690 in our weekly draw #33. Send your bank details to claim.
ham,Could you send me the client notes from today's class? I missed the part around 10 AM.
spam,"Get rich quick! Earn $2977 per day working from home. Visit http://verify-account.net now, slot 75!"
spam,Make money fast! Investment opportunity #2840 guarantees 89% returns. Reply for details.
ham,"I just finished the weekend assignment, do you want to go over it together at 6 PM?"
ham,Quick question about the iPhone assignment - is it due 1 PM or end of day?
spam,"Your loan of $1881 has been approved! No credit check required. Call 08712300220 today, ref 89!"
spam,"You have a missed call from 09061701461, case 2977. To know who called, dial back now for $1.50/min."
ham,"Let's grab Car coffee before the meeting at 1 PM, I have something to discuss."
ham,Reminder: Your appointment with the iPhone doctor is scheduled for 10 AM tomorrow.
ham,"I just finished the finance assignment, do you want to go over it together at 8:15 AM?"
ham,"Can you send me the engineering report by 7 PM? Thanks, it's for the this evening meeting."
spam,"Exclusive deal #922: Get a marketing for just $68. Limited stock, order at http://verify-account.net now!"
ham,Quick question about the Cash assignment - is it due 2 PM or this evening?
ham,"The weather looks great for the weekend, want to go iPhone hiking at 5:30 PM?"
spam,"Congratulations! You've WON a team prize. Call 07090210034 now to claim your reward, offer code 2018!"
spam,WINNER!! As a valued customer you have been selected to receive a marketing cash reward of $2566. Call 08001234567
spam,"Your loan of $237 has been approved! No credit check required. Call 08712460324 today, ref 61!"
spam,"Limited offer! Buy now and get 68% discount on groceries, code 2566. Click http://freegift.co to order!"
ham,Could you forward the design invoice from next week? I need it for accounting.
ham,"I will be home late today, around 9 AM. Please start dinner without me, love you."
ham,"I'm running about 10 minutes late for the noon meeting, traffic near project is bad."
ham,Are you free for a quick call at 4:45 PM? Want to discuss the project budget.
ham,"Let's grab Gift Card coffee before the meeting at 6 PM, I have something to discuss."
ham,"I updated the finance spreadsheet with the latest numbers, please check before 8:15 AM."
spam,"Hot singles in your area are waiting to chat with you, ID 7224! Click http://bonus-cash.online now!!!"
ham,"I updated the Vacation spreadsheet with the latest numbers, please check before 1 PM."
spam,FINAL NOTICE 7498: Outstanding payment of $7498 detected. Settle immediately via http://verify-account.net to avoid legal action.
spam,URGENT! Your account 922 has been suspended. Click here to verify: http://verify-account.net
spam,FREE RINGTONES! Text TONE7635 to 07786200117 to download the latest hits for free!
ham,"Just checking in, how are you feeling after the Smart TV? Call me at 9 AM."
spam,Make money fast! Investment opportunity #4073 guarantees 26% returns. Reply for details.
spam,"Exclusive deal #7635: Get a weekend for just $12. Limited stock, order at http://win-now.biz now!"
ham,"The Cash package was delivered today around 3 PM, thanks for ordering it for me."
spam,URGENT: Your bank account 2018 needs verification. Click http://verify-account.net immediately to avoid suspension.
ham,"Mom called, she wants us to visit this Sunday at 9 AM for garden lunch."
ham,"Can you send me the Tablet report by 2 PM? Thanks, it's for the tonight meeting."
ham,Reminder: Your appointment with the Cash doctor is scheduled for 1 PM tomorrow.
ham,The meeting has been rescheduled to 3 PM in the engineering conference room.
ham,The meeting has been rescheduled to 2 PM in the Tablet conference room.
spam,"Claim your FREE garden now, code 26! Text CLAIM to 08712460324. Offer expires today!"
spam,Make money fast! Investment opportunity #922 guarantees 89% returns. Reply for details.
spam,"Hot singles in your area are waiting to chat with you, ID 4621! Click http://claim-prize.com now!!!"
spam,CONGRATULATIONS! You've been chosen for a FREE Gift Card voucher worth $4347. Claim at http://claim-prize.com
spam,"Claim your FREE garden now, code 26! Text CLAIM to 08712401890. Offer expires today!"
spam,FINAL NOTICE 2566: Outstanding payment of $2566 detected. Settle immediately via http://claim-prize.com to avoid legal action.
spam,"Limited offer! Buy now and get 61% discount on marketing, code 1470. Click http://verify-account.net to order!"
spam,You've earned 82 reward points worth $8183! Redeem now at http://claim-prize.com before they expire.
ham,"Just checking in, how are you feeling after the downtown? Call me at 4:45 PM."
spam,"Hot singles in your area are waiting to chat with you, ID 6402! Click http://bonus-cash.online now!!!"
spam,FREE RINGTONES! Text TONE1333 to 08712401890 to download the latest hits for free!
ham,Are you free for a quick call at 4:45 PM? Want to discuss the homework budget.
spam,FINAL NOTICE 1607: Outstanding payment of $1607 detected. Settle immediately via http://verify-account.net to avoid legal action.
ham,Could you send me the sales notes from today's class? I missed the part around 3 PM.
spam,URGENT! Your account 9005 has been suspended. Click here to verify: http://win-now.biz
spam,You have been selected to receive a FREE groceries worth $9005. Reply YES to claim now!
spam,"Exclusive deal #5991: Get a downtown for just $89. Limited stock, order at http://claim-prize.com now!"
ham,"Mom called, she wants us to visit this Sunday at 11 AM for homework lunch."
ham,"Hey, are we still meeting for lunch tomorrow at 10 AM? Let me know by this evening."
spam,WINNER!! As a valued customer you have been selected to receive a Tablet cash reward of $7087. Call 07090210034
ham,"I'm running about 10 minutes late for the noon meeting, traffic near Smart TV is bad."
ham,"Hey, are we still meeting for lunch tomorrow at 8:15 AM? Let me know by tomorrow morning."
spam,"Claim your FREE iPhone now, code 47! Text CLAIM to 07911123456. Offer expires today!"
spam,FREE RINGTONES! Text TONE374 to 09061701461 to download the latest hits for free!
ham,"Don't forget to pick up milk, bread and iPhone on your way home around 6 PM."
spam,"Hot singles in your area are waiting to chat with you, ID 6265! Click http://reward-center.xyz now!!!"
spam,URGENT: Your bank account 6676 needs verification. Click http://verify-account.net immediately to avoid suspension.
spam,ALERT 3799: Unusual activity detected on your account. Verify now at http://reward-center.xyz or account will be locked.
ham,"Thanks for sales dinner last night, the food was amazing, see you at 9 AM."
spam,"Limited offer! Buy now and get 89% discount on iPhone, code 5854. Click http://claim-prize.com to order!"
ham,"Hey, are we still meeting for lunch tomorrow at noon? Let me know by this evening."
ham,Can we catch up this weekend at 9 AM? It's been a while since we hung out near team.
ham,"I'm running about 10 minutes late for the 6 PM meeting, traffic near Vacation is bad."
ham,Let's plan the groceries trip for next month. I'll book the tickets this weekend.
ham,Could you forward the sales invoice from Monday? I need it for accounting.
ham,"Let's finalize the Laptop schedule for next week, are you free 8:15 AM?"
spam,You've earned 5 reward points worth $9964! Redeem now at http://reward-center.xyz before they expire.
ham,"Thanks for the help with the iPhone project yesterday, really appreciated it."
spam,FINAL NOTICE 4347: Outstanding payment of $4347 detected. Settle immediately via http://freegift.co to avoid legal action.
spam,URGENT! Your account 1196 has been suspended. Click here to verify: http://verify-account.net
spam,"Special promo just for you, voucher 7909! Get 5% off all products. Use code SAVE7909 at http://freegift.co"
ham,Could you forward the design invoice from Friday? I need it for accounting.
spam,FINAL NOTICE 1196: Outstanding payment of $1196 detected. Settle immediately via http://claim-prize.com to avoid legal action.
spam,Your prize of Tablet (ref 4758) is waiting! Reply CLAIM with your address to receive it within 24hrs.
spam,"Dear customer, your engineering delivery #3936 is on hold. Pay $54 customs fee at http://freegift.co to release it."
spam,You have been selected to receive a FREE office worth $7498. Reply YES to claim now!
spam,"FREE entry to win a marketing! Text WIN to 08712300220 now, ref 374. Limited time offer!"
ham,Quick question about the Vacation assignment - is it due 6 PM or tonight?
spam,"WIN a brand new office this week, entry 2840! Enter now at http://bonus-cash.online. T&Cs apply."
spam,URGENT: Your bank account 6265 needs verification. Click http://verify-account.net immediately to avoid suspension.
spam,"Exclusive deal #6813: Get a Laptop for just $40. Limited stock, order at http://secure-update.info now!"
spam,"Dear customer, your finance delivery #4210 is on hold. Pay $75 customs fee at http://claim-prize.com to release it."
spam,"Dear customer, your Tablet delivery #4210 is on hold. Pay $33 customs fee at http://freegift.co to release it."
spam,Your prize of finance (ref 4347) is waiting! Reply CLAIM with your address to receive it within 24hrs.
spam,"Limited offer! Buy now and get 75% discount on Laptop, code 8183. Click http://verify-account.net to order!"
ham,"Can you send me the garden report by 9 AM? Thanks, it's for the tonight meeting."
ham,"Don't forget to pick up milk, bread and Smart TV on your way home around noon."
spam,"Limited offer! Buy now and get 75% discount on iPhone, code 8183. Click http://win-now.biz to order!"
spam,"You have a missed call from 07786200117, case 5580. To know who called, dial back now for $1.50/min."
ham,"I just finished the Vacation assignment, do you want to go over it together at 5:30 PM?"
ham,Can you pick me up from the client station at 10 AM? My train arrives then.
spam,"Special promo just for you, voucher 7224! Get 5% off all products. Use code SAVE7224 at http://verify-account.net"
spam,CONGRATULATIONS! You've been chosen for a FREE Smart TV voucher worth $511. Claim at http://reward-center.xyz
spam,"Congratulations! You've WON a project prize. Call 09064011000 now to claim your reward, offer code 6676!"
spam,"You have a missed call from 09058094594, case 1607. To know who called, dial back now for $1.50/min."
spam,"Claim your FREE garden now, code 68! Text CLAIM to 09061701461. Offer expires today!"
spam,CONGRATULATIONS! You've been chosen for a FREE groceries voucher worth $1607. Claim at http://claim-prize.com
ham,"The weather looks great for the weekend, want to go Cash hiking at 11 AM?"
ham,"Thanks for the help with the Tablet project yesterday, really appreciated it."
spam,"Exclusive deal #511: Get a sales for just $26. Limited stock, order at http://bonus-cash.online now!"
spam,"Exclusive deal #6265: Get a client for just $61. Limited stock, order at http://claim-prize.com now!"
spam,"FREE entry to win a garden! Text WIN to 07786200117 now, ref 7361. Limited time offer!"
ham,Are you free for a quick call at 7 PM? Want to discuss the downtown budget.
spam,"Dear customer, your office delivery #1333 is on hold. Pay $75 customs fee at http://freegift.co to release it."
ham,"Thanks for engineering dinner last night, the food was amazing, see you at 1 PM."
spam,Congratulations! You've won $7635 in our weekly draw #12. Send your bank details to claim.
ham,Could you forward the Tablet invoice from next week? I need it for accounting.
ham,"Don't forget to pick up milk, bread and project on your way home around 1 PM."
spam,"Limited offer! Buy now and get 82% discount on team, code 237. Click http://win-now.biz to order!"
ham,"I updated the finance spreadsheet with the latest numbers, please check before 3 PM."
spam,"Your loan of $6539 has been approved! No credit check required. Call 07911123456 today, ref 61!"
ham,"Sure, I'll see you at the sales gym at 11 AM for our usual session."
spam,"Exclusive deal #4073: Get a project for just $12. Limited stock, order at http://bonus-cash.online now!"
spam,URGENT! Your account 2566 has been suspended. Click here to verify: http://reward-center.xyz
ham,Are you free for a quick call at 1 PM? Want to discuss the Holiday budget.
spam,Make money fast! Investment opportunity #9142 guarantees 54% returns. Reply for details.
ham,"The weekend package was delivered today around 6 PM, thanks for ordering it for me."
ham,"Let's grab design coffee before the meeting at 10 AM, I have something to discuss."
ham,"Sure, I'll see you at the project gym at 7 PM for our usual session."
spam,"Your loan of $2703 has been approved! No credit check required. Call 09064011000 today, ref 40!"
spam,URGENT! Your account 8457 has been suspended. Click here to verify: http://secure-update.info
spam,URGENT! Your account 6676 has been suspended. Click here to verify: http://verify-account.net
ham,"The weather looks great for the weekend, want to go Cash hiking at 6 PM?"
spam,"Congratulations! You've WON a homework prize. Call 09058094594 now to claim your reward, offer code 1333!"
spam,"Special promo just for you, voucher 2429! Get 68% off all products. Use code SAVE2429 at http://reward-center.xyz"
spam,"Your loan of $2703 has been approved! No credit check required. Call 07786200117 today, ref 89!"
ham,Can we catch up this weekend at 11 AM? It's been a while since we hung out near Gift Card.
spam,"Claim your FREE Laptop now, code 61! Text CLAIM to 07786200117. Offer expires today!"
ham,"The kitchen package was delivered today around 9 AM, thanks for ordering it for me."
ham,Let's plan the Holiday trip for next month. I'll book the tickets this weekend.
spam,Your prize of kitchen (ref 1059) is waiting! Reply CLAIM with your address to receive it within 24hrs.
spam,"Get rich quick! Earn $9964 per day working from home. Visit http://claim-prize.com now, slot 75!"
ham,"I just finished the school assignment, do you want to go over it together at 8:15 AM?"
spam,"Claim your FREE groceries now, code 47! Text CLAIM to 07786200117. Offer expires today!"
spam,Congratulations! You've won $1470 in our weekly draw #61. Send your bank details to claim.
spam,You have been selected to receive a FREE school worth $5169. Reply YES to claim now!
spam,You have been selected to receive a FREE garden worth $8046. Reply YES to claim now!
ham,"Don't forget to pick up milk, bread and groceries on your way home around 9 AM."
ham,Please review the attached team document and let me know your thoughts by 1 PM.
ham,"I updated the kitchen spreadsheet with the latest numbers, please check before 6 PM."
spam,"Get rich quick! Earn $2703 per day working from home. Visit http://reward-center.xyz now, slot 26!"
ham,Please review the attached Gift Card document and let me know your thoughts by noon.
ham,"I left my Cash charger at the office, can you bring it tomorrow morning?"
spam,FINAL NOTICE 922: Outstanding payment of $922 detected. Settle immediately via http://verify-account.net to avoid legal action.
ham,"Sure, I'll see you at the weekend gym at 5:30 PM for our usual session."
ham,"Let's finalize the design schedule for next week, are you free noon?"
ham,"Mom called, she wants us to visit this Sunday at 6 PM for finance lunch."
ham,"The project package was delivered today around 8:15 AM, thanks for ordering it for me."
ham,Please review the attached garden document and let me know your thoughts by 7 PM.
ham,"Can you send me the homework report by 2 PM? Thanks, it's for the this evening meeting."
ham,"Don't forget to pick up milk, bread and Vacation on your way home around 11 AM."
ham,"I just finished the homework assignment, do you want to go over it together at 1 PM?"
spam,"Dear customer, your kitchen delivery #8594 is on hold. Pay $47 customs fee at http://secure-update.info to release it."
spam,"Get rich quick! Earn $9964 per day working from home. Visit http://freegift.co now, slot 89!"
spam,"WIN a brand new team this week, entry 9690! Enter now at http://secure-update.info. T&Cs apply."
ham,"I just finished the garden assignment, do you want to go over it together at 1 PM?"
spam,"Get rich quick! Earn $5717 per day working from home. Visit http://secure-update.info now, slot 89!"
spam,"Exclusive deal #3388: Get a Cash for just $82. Limited stock, order at http://freegift.co now!"
spam,"Limited offer! Buy now and get 26% discount on garden, code 6813. Click http://verify-account.net to order!"
spam,WINNER!! As a valued customer you have been selected to receive a client cash reward of $6128. Call 07090210034
spam,"Dear customer, your Smart TV delivery #7224 is on hold. Pay $40 customs fee at http://claim-prize.com to release it."
ham,"Hey, are we still meeting for lunch tomorrow at 4:45 PM? Let me know by next week."
ham,Can you pick me up from the client station at 7 PM? My train arrives then.
ham,"Mom called, she wants us to visit this Sunday at 2 PM for Car lunch."
spam,WINNER!! As a valued customer you have been selected to receive a Smart TV cash reward of $1470. Call 08712460324
ham,"Don't forget to pick up milk, bread and Holiday on your way home around 6 PM."
spam,Last chance! Your subscription 9553 expires today. Renew now at http://reward-center.xyz to avoid 54% penalty.
ham,Could you forward the groceries invoice from this evening? I need it for accounting.
